"","FORPORT_NAME","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT.x","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","Country Name","For_Lat","For_Lon"
"1","Aabenraa",700,"Baltimore, MD","2016","Import","MD",40901,"4099","Denmark",3010,"Colombia",70,"All Manufactured Equipment, Machinery and Products",7,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40901,"Denmark",55.034,9.433
"2","Aalesund",700,"Baltimore, MD","2016","Import","MD",40301,"4039","Norway",4039,"Norway",31,"Fertilizers",19401,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,40301,"Norway",62.466,6.17
"3","Aalesund",700,"Baltimore, MD","2016","Import","MD",40301,"4039","Norway",4039,"Norway",99,"Unknown or Not Elsewhere Classified",4850,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,40301,"Norway",62.466,6.17
"4","Aarhus",700,"Baltimore, MD","2016","Import","MD",40906,"4099","Denmark",4099,"Denmark",68,"Other Agricultural Products; Food and Kindred Products",134,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,40906,"Denmark",56.161,10.24
"5","Aarhus",700,"Baltimore, MD","2016","Import","MD",40906,"4099","Denmark",4099,"Denmark",66,"Vegetable Products",159,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,40906,"Denmark",56.161,10.24
"6","Aarhus",700,"Baltimore, MD","2016","Import","MD",40906,"4099","Denmark",4550,"Poland",68,"Other Agricultural Products; Food and Kindred Products",134,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,40906,"Denmark",56.161,10.24
"7","Abu Dhabi",700,"Baltimore, MD","2016","Import","MD",52001,"5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",0,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,52001,"United Arab Em",24.5333333333333,54.3833333333333
"8","Abu Dhabi",766,"Wilmington, NC","2016","Import","NC",52001,"5200","United Arab Em",5200,"United Arab Emirates",70,"All Manufactured Equipment, Machinery and Products",0,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,52001,"United Arab Em",24.5333333333333,54.3833333333333
"9","Acajutla",2416,"Port Arthur, TX","2016","Import","TX",21101,"2110","El Salvador",2110,"El Salvador",99,"Unknown or Not Elsewhere Classified",61,"Gulf of Mexico","Other Goods",29.893605027027,-93.920496972973,21101,"El Salvador",13.57766,-89.83746
"10","Acajutla",2416,"Port Arthur, TX","2016","Import","TX",21101,"2110","El Salvador",2110,"El Salvador",70,"All Manufactured Equipment, Machinery and Products",1,"Gulf of Mexico","Industrial goods",29.893605027027,-93.920496972973,21101,"El Salvador",13.57766,-89.83746
"11","Acajutla",700,"Baltimore, MD","2016","Import","MD",21101,"2110","El Salvador",2110,"El Salvador",68,"Other Agricultural Products; Food and Kindred Products",42571,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,21101,"El Salvador",13.57766,-89.83746
"12","Al Basrah",2416,"Port Arthur, TX","2016","Import","TX",50525,"5050","Iraq",5050,"Iraq",21,"Crude Petroleum",160795,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,50525,"Iraq",30.51142,47.84966
"13","Al Basrah",2417,"Galveston, TX","2016","Import","TX",50525,"5050","Iraq",5050,"Iraq",70,"All Manufactured Equipment, Machinery and Products",1,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,50525,"Iraq",30.51142,47.84966
"14","Al Fuhayhil",2416,"Port Arthur, TX","2016","Import","TX",51323,"5130","Kuwait",5130,"Kuwait",21,"Crude Petroleum",88306,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,51323,"Kuwait",29.0608,48.15427
"15","Al Juaymah",2417,"Galveston, TX","2016","Import","TX",51723,"5170","Saudi Arabia",5170,"Saudi Arabia",70,"All Manufactured Equipment, Machinery and Products",0,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,51723,"Saudi Arabia",26.92903,50.05338
"16","Al Jubail",2417,"Galveston, TX","2016","Import","TX",51720,"5170","Saudi Arabia",5170,"Saudi Arabia",70,"All Manufactured Equipment, Machinery and Products",2013,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,51720,"Saudi Arabia",27.01669,49.66032
"17","Al Jubail",766,"Wilmington, NC","2016","Import","NC",51720,"5170","Saudi Arabia",5170,"Saudi Arabia",32,"Other Chemicals and Related Products",27711,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,51720,"Saudi Arabia",27.01669,49.66032
"18","Al Jubail",2416,"Port Arthur, TX","2016","Import","TX",51720,"5170","Saudi Arabia",5170,"Saudi Arabia",32,"Other Chemicals and Related Products",6780,"Gulf of Mexico","Industrial goods",29.893605027027,-93.920496972973,51720,"Saudi Arabia",27.01669,49.66032
"19","Al Jubail",2417,"Galveston, TX","2016","Import","TX",51720,"5170","Saudi Arabia",5170,"Saudi Arabia",23,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",58157,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.3124683918919,-94.8089730675676,51720,"Saudi Arabia",27.01669,49.66032
"20","Alert Bay, BC",4340,"Redwood City, CA","2016","Import","CA",12203,"1220","Canada",1220,"Canada",43,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material",1294254,"South Pacific","Ore, Rock and Minerals",37.5123683333333,-122.2092355,12203,"Canada",50.58333,-126.933333
"21","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7420,"Cameroon",99,"Unknown or Not Elsewhere Classified",10961,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"22","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7610,"Benin",70,"All Manufactured Equipment, Machinery and Products",12797,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"23","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",4710,"Portugal",52,"Building Cement & Concrete; Lime; Glass",2643,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"24","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7290,"Egypt",99,"Unknown or Not Elsewhere Classified",10961,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"25","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7470,"Sierra Leone",66,"Vegetable Products",19865,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"26","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7660,"Congo (Kinshasa)",99,"Unknown or Not Elsewhere Classified",10961,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"27","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7490,"Ghana",70,"All Manufactured Equipment, Machinery and Products",12797,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"28","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",4850,"Romania",41,"Forest Products, Lumber, Logs, Woodchips",6587,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"29","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",4890,"Turkey",68,"Other Agricultural Products; Food and Kindred Products",6552,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"30","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",5330,"India",64,"Barley, Rye, Oats, Rice and Sorghum Grains",1614,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"31","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",3510,"Brazil",70,"All Manufactured Equipment, Machinery and Products",12797,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"32","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",5250,"Bahrain",32,"Other Chemicals and Related Products",4652,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"33","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",5330,"India",61,"Fish",185,"North Atlantic","Fish and Marine Goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"34","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",4700,"Spain",32,"Other Chemicals and Related Products",4652,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
"35","Algeciras",700,"Baltimore, MD","2016","Import","MD",47031,"4700","Spain",7780,"Uganda",68,"Other Agricultural Products; Food and Kindred Products",6552,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,47031,"Spain",36.12631,-5.44355
